Date,ticker,volume
2021-02-23,AAPL,158273000
2021-02-24,AAPL,111039900
2021-02-25,AAPL,148199500
2021-02-26,AAPL,164560400
2021-03-01,AAPL,116307900
2021-03-02,AAPL,102260900
2021-03-03,AAPL,112966300
2021-03-04,AAPL,178155000
2021-03-05,AAPL,153766600
2021-03-08,AAPL,154376600
2021-03-09,AAPL,129525800
2021-03-10,AAPL,111943300
2021-03-11,AAPL,103026500
2021-03-12,AAPL,88105100
2021-03-15,AAPL,92403800
2021-03-16,AAPL,115227900
2021-03-17,AAPL,111932600
2021-03-18,AAPL,121229700
2021-03-19,AAPL,185549500
2021-03-22,AAPL,111912300
2021-03-23,AAPL,95467100
2021-03-24,AAPL,88530500
2021-03-25,AAPL,98844700
2021-03-26,AAPL,94071200
2021-03-29,AAPL,80819200
2021-03-30,AAPL,85671900
2021-03-31,AAPL,118323800
2021-04-01,AAPL,75089100
2021-04-05,AAPL,88651200
2021-04-06,AAPL,80171300
2021-04-07,AAPL,83466700
2021-04-08,AAPL,88844600
2021-04-09,AAPL,106686700
2021-04-12,AAPL,91420000
2021-04-13,AAPL,91266500
2021-04-14,AAPL,87222800
2021-04-15,AAPL,89347100
2021-04-16,AAPL,84922400
2021-04-19,AAPL,94264200
2021-04-20,AAPL,94812300
2021-04-21,AAPL,68847100
2021-04-22,AAPL,84566500
2021-04-23,AAPL,78657500
2021-04-26,AAPL,66905100
2021-04-27,AAPL,66015800
2021-04-28,AAPL,107760100
2021-04-29,AAPL,151101000
2021-04-30,AAPL,109839500
2021-05-03,AAPL,75135100
2021-05-04,AAPL,137564700
2021-05-05,AAPL,84000900
2021-05-06,AAPL,78128300
2021-05-07,AAPL,78973300
2021-05-10,AAPL,88071200
2021-05-11,AAPL,126142800
2021-05-12,AAPL,112172300
2021-05-13,AAPL,105861300
2021-05-14,AAPL,81918000
2021-05-17,AAPL,74244600
2021-05-18,AAPL,63342900
2021-05-19,AAPL,92612000
2021-05-20,AAPL,76857100
2021-05-21,AAPL,79295400
2021-05-24,AAPL,63092900
2021-05-25,AAPL,72009500
2021-05-26,AAPL,56575900
2021-05-27,AAPL,94625600
2021-05-28,AAPL,71311100
2021-06-01,AAPL,67637100
2021-06-02,AAPL,59278900
2021-06-03,AAPL,76229200
2021-06-04,AAPL,75169300
2021-06-07,AAPL,71057600
2021-06-08,AAPL,74403800
2021-06-09,AAPL,56877900
2021-06-10,AAPL,71186400
2021-06-11,AAPL,53522400
2021-06-14,AAPL,96906500
2021-06-15,AAPL,62746300
